timestamp,epoch,price
2026-02-11T17:41:12+00:00,924,1.006189952
2026-02-11T19:42:36+00:00,925,1.006190034
2026-02-13T17:49:42+00:00,926,1.006487098
2026-02-15T16:43:54+00:00,927,1.006784161
2026-02-17T15:36:39+00:00,928,1.00708055
2026-02-19T14:36:24+00:00,929,1.007377331
2026-02-21T13:50:17+00:00,930,1.007677663
2026-02-23T13:37:21+00:00,931,1.007975684
2026-02-25T12:29:51+00:00,932,1.008272964
2026-02-27T12:01:07+00:00,933,1.008572648
2026-03-01T11:30:00+00:00,934,1.008868299
2026-03-03T10:54:43+00:00,935,1.009164808
2026-03-05T09:57:17+00:00,936,1.009458022
2026-03-07T09:38:46+00:00,937,1.009757857
2026-03-09T10:03:21+00:00,938,1.01005243
2026-03-11T07:51:23+00:00,939,1.010347193
2026-03-13T06:33:52+00:00,940,1.010639395
2026-03-15T06:13:49+00:00,941,1.01093306
