timestamp,epoch,price
2026-03-17T10:02:44+00:00,942,1.031680014
2026-03-19T05:08:25+00:00,943,1.032830138
2026-03-21T04:18:59+00:00,944,1.033265779
2026-03-23T03:18:49+00:00,945,1.033701604
2026-03-25T03:13:52+00:00,946,1.034137612
2026-03-27T03:25:08+00:00,947,1.034573805
2026-03-29T03:30:47+00:00,948,1.03479197
2026-03-30T23:47:51+00:00,949,1.035228701
2026-04-01T22:52:38+00:00,950,1.035665879
2026-04-03T21:45:30+00:00,951,1.036103241
2026-04-05T20:47:26+00:00,952,1.036540787
2026-04-07T19:44:01+00:00,953,1.036540787
